store_id,store_name,product_id,current_stock
S001,Chennai Central,P001,18
S001,Chennai Central,P002,42
S001,Chennai Central,P003,75
S001,Chennai Central,P004,28
S001,Chennai Central,P005,8
S001,Chennai Central,P006,35
S001,Chennai Central,P007,95
S001,Chennai Central,P008,140
S001,Chennai Central,P009,14
S001,Chennai Central,P010,31
S001,Chennai Central,P011,120
S001,Chennai Central,P012,185
S001,Chennai Central,P013,12
S001,Chennai Central,P014,45
S001,Chennai Central,P015,62
S001,Chennai Central,P016,48
S001,Chennai Central,P017,38
S001,Chennai Central,P018,5
S001,Chennai Central,P019,9
S001,Chennai Central,P020,72
S002,Coimbatore Main,P001,65
S002,Coimbatore Main,P002,8
S002,Coimbatore Main,P003,48
S002,Coimbatore Main,P004,12
S002,Coimbatore Main,P005,25
S002,Coimbatore Main,P006,22
S002,Coimbatore Main,P007,110
S002,Coimbatore Main,P008,155
S002,Coimbatore Main,P009,55
S002,Coimbatore Main,P010,7
S002,Coimbatore Main,P011,45
S002,Coimbatore Main,P012,65
S002,Coimbatore Main,P013,58
S002,Coimbatore Main,P014,18
S002,Coimbatore Main,P015,70
S002,Coimbatore Main,P016,14
S002,Coimbatore Main,P017,42
S002,Coimbatore Main,P018,22
S002,Coimbatore Main,P019,6
S002,Coimbatore Main,P020,90
S003,Madurai Central,P001,30
S003,Madurai Central,P002,18
S003,Madurai Central,P003,90
S003,Madurai Central,P004,45
S003,Madurai Central,P005,32
S003,Madurai Central,P006,10
S003,Madurai Central,P007,80
S003,Madurai Central,P008,65
S003,Madurai Central,P009,28
S003,Madurai Central,P010,24
S003,Madurai Central,P011,130
S003,Madurai Central,P012,190
S003,Madurai Central,P013,72
S003,Madurai Central,P014,55
S003,Madurai Central,P015,22
S003,Madurai Central,P016,52
S003,Madurai Central,P017,9
S003,Madurai Central,P018,18
S003,Madurai Central,P019,35
S003,Madurai Central,P020,40
